item_name,basket_id
chicken,0
salt,0
acorn squash,0
sage,0
rosemary,0
unsalted butter,0
ground allspice,0
red pepper flakes,0
ground black pepper,0
loaf good quality   white bread   into,0
apples     into,0
extra virgin olive oil,0
red onion,0
apple cider vinegar,0
white miso,0
all purpose flour,0
unsalted butter,0
dry white wine,0
unsalted chicken broth,0
white miso,0
salt   ground pepper,0
large egg whites,1
new potatoes,1
salt,1
ground black pepper,1
rosemary,1
thyme,1
parsley,1
evaporated milk,2
milk,2
garlic powder,2
onion powder,2
smoked paprika,2
ground black pepper,2
salt,2
extra sharp cheddar coarsely grated,2
full fat cream cheese,2
elbow macaroni,2
round italian loaf   into inch cubes,3
olive oil,3
sweet italian sausage casings removed,3
unsalted butter   into,3
onions,3
large celery ribs,3
garlic cloves minced,3
large eggs lightly beaten,3
heavy cream,3
turkey giblet stock or reduced sodium chicken broth,3
grated parmigiano reggiano,3
coarsely   flat leaf parsley,3
qt shallow ceramic or glass baking dish,3
dark brown sugar,4
hot water,4
bourbon,4
lemon juice,4
apple butter,4
orange twist     grated or ground cinnamon,4
chamomile tea bags,5
reposado tequila,5
lemon juice,5
agave nectar,5
grand marnier,6
amaro averna,6
pat   butter,6
hot apple cider,6
to     lemon juice,6
ground pink peppercorns   lemon wheels,6
granulated sugar,7
ground turmeric,7
amontillado sherry,7
bourbon aged rum scotch mezcal or gin,7
turmeric syrup,7
lemon juice,7
dehydrated lemon wheel,7
assorted dals,8
white jasmine rice or other long grain rice,8
pearl barley,8
bone in lamb stew meat,8
salt,8
piece   ginger,8
shallots,8
ghee or vegetable oil,8
garlic cloves   grated,8
garam masala,8
cayenne pepper,8
ground turmeric,8
green thai chiles stems removed,8
cilantro     for serving,8
white onion,8
limes   into wedges,8
can basic lentil soup like amy s,9
large onion,9
turmeric,9
cumin,9
aleppo pepper or     red pepper flakes,9
tomato paste,9
large eggs,9
ghee unsalted butter or olive oil,9
cumin seeds,9
olive oil,9
salt     ground black pepper,9
parsley for finishing,9
can chipotle in adobo sauce,10
garlic clove minced,10
salt,10
cornstarch,10
can evaporated milk,10
sharp or extra sharp cheddar cheese coarsely grated,10
cream cheese roughly diced at,10
mayonnaise,10
jar diced pimento peppers,10
chipotle pepper puree,10
bone in hickory smoked uncured fully   ham,11
parsnips peeled     lengthwise,11
carrots peeled     lengthwise,11
maple syrup,11
unsweetened apple juice,11
packed dark brown sugar,11
smooth dijon mustard,11
grainy dijon mustard,11
apple cider vinegar,11
salt,11
slices bacon   crosswise into inch,12
celery ribs,12
carrot,12
onion,12
cinnamon,12
boiling potatoes,12
granny smith apples,12
butternut squash peeled seeded     into inch,12
reduced sodium chicken stock or broth,12
to   water,12
sour cream,12
anchovies mashed to a paste,13
garlic cloves   grated,13
mayonnaise,13
dijon mustard     for serving,13
extra virgin olive oil,13
ground black pepper,13
chicken or chicken legs,13
salt,13
shallots unpeeled   lengthwise,13
